Category,Metric,varianta_main_4g Mean,variantb_main_6g Mean,varianta_main_4g P50,variantb_main_6g P50,varianta_main_4g P90,variantb_main_6g P90,Unit
Build,Build time,43431,43547,43464,43574,44331,44642,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,3,4,4,8,8,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,37,38,38,60,46,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,44,43,43,44,61,49,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8602,8630,8436,8662,12397,12381,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,3,4,4,4,5,5,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,97,101,95,95,129,133,ms
Task Path,:build-logic:convention:compileKotlin,12065,12053,12098,12034,12488,12467,ms
Task Path,:core:model:compileKotlin,5140,5207,5137,5171,5307,5550,ms
All processes cpu,Max,96.6,96.7,97.0,97.0,97,97,%
All processes memory,Max,4.09,3.91,3.99,3.92,4.69,4.04,Gb
Build process cpu,Max,83.7,83.5,83.0,83.5,88,87,%
Build processes memory,Max,1.77,1.5,1.67,1.52,2.39,1.63,Gb
Build child processes cpu,Max,87.1,87.8,87.0,87.5,90,91,%
Build child processes memory,Max,1.29,1.37,1.29,1.37,1.31,1.38,Gb
