Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_8_14_rc2 Mean,varianta_gradle_8_13 P50,variantb_gradle_8_14_rc2 P50,varianta_gradle_8_13 P90,variantb_gradle_8_14_rc2 P90,Unit
Task Path,:core:domain:compileDemoDebugKotlin,1199,1238,1093,1071,1266,1333,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2410,2387,2550,2429,4890,5158,ms
Task Path,:core:ui:compileDemoDebugKotlin,5267,5224,5194,5121,6007,6107,ms
Task Path,:sync:work:kspDemoDebugKotlin,4048,3722,3808,3624,4474,4219,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5209,5322,5624,5594,6831,7160,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,5862,5701,5894,5770,7094,6646,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5260,5459,5663,5947,7465,6967,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1078,1128,1056,1109,1368,1484,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1682,2031,1950,2130,3654,3787,ms
Task Path,:feature:interests:kspDemoDebugKotlin,3420,3041,3058,2897,5463,3471,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6843,7128,7446,7601,8776,8698,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38859,38430,38846,38270,40954,40817,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2901,2881,2884,2907,3234,3270,ms
Task Path,:feature:search:kspDemoDebugKotlin,2979,2924,2958,2963,3350,3246,ms
Task Path,:feature:settings:kspDemoDebugKotlin,2915,2869,2888,2839,3350,3294,ms
Task Path,:app:mergeExtDexDemoDebug,42758,42209,43034,42372,44237,44874,ms
Task Path,:sync:work:compileDemoDebugKotlin,1477,1483,1451,1500,1884,1706,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3040,2973,3051,2997,3418,3368,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2962,2923,2973,2967,3435,3263,ms
Task Path,:feature:search:compileDemoDebugKotlin,4553,4493,4637,4408,5065,5195,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3624,3478,3617,3429,4277,4060,ms
Task Path,:app:kspDemoDebugKotlin,4908,4889,4854,4774,5579,5535,ms
Task Path,:app:validateSigningDemoDebug,2485,2647,2193,2587,3695,3896,ms
Task Path,:app:mergeLibDexDemoDebug,1491,1582,1458,1619,1928,1960,ms
Task Path,:app:mergeProdDebugResources,3307,3313,3359,3306,3835,4007,ms
Task Path,:app:processProdDebugResources,1254,1231,1151,1173,1790,1639,ms
Task Path,:app:compileDemoDebugKotlin,5794,5629,5725,5592,6451,6232,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2633,2555,2582,2560,3103,2967,ms
Task Path,:core:analytics:kspProdDebugKotlin,2513,2407,2492,2381,3014,2758,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1554,1601,1510,1555,1767,1929,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1247,1250,1244,1166,1604,1602,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1158,1104,1139,1072,1379,1258,ms
Task Path,:core:analytics:compileProdDebugKotlin,1201,1246,1187,1222,1446,1506,ms
Task Path,:core:datastore:kspProdDebugKotlin,2342,2308,2282,2252,2756,2812,ms
Task Path,:core:network:kspProdDebugKotlin,2693,2652,2654,2525,3007,3206,ms
Task Path,:core:datastore:compileProdDebugKotlin,1647,1552,1562,1526,1966,2005,ms
Task Path,:core:notifications:kspProdDebugKotlin,2565,2544,2546,2501,2969,2953,ms
Task Path,:core:network:compileProdDebugKotlin,2232,2173,2157,2127,2814,2525,ms
Task Path,:app:hiltJavaCompileDemoDebug,5992,5681,6074,5556,6780,6534,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1774,1768,1196,1312,4513,4432,ms
Task Path,:app:jacocoDemoDebug,1456,1286,1204,1071,2813,2325,ms
Task Path,:core:data:kspProdDebugKotlin,3385,3242,3343,3178,4230,3823,ms
Task Path,:app:mergeDemoDebugJavaResource,4717,4772,4438,4634,5897,5877,ms
Task Path,:app:dexBuilderDemoDebug,2783,2826,2684,2747,3733,3734,ms
Task Path,:core:data:compileProdDebugKotlin,3034,3126,2847,2845,3619,4452,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8538,8740,8546,8619,9463,9560,ms
Task Path,:app:packageDemoDebug,4162,4302,3933,4014,5243,6017,ms
Task Path,:core:ui:compileProdDebugKotlin,3756,3842,3635,3706,4692,4767,ms
Task Path,:sync:work:kspProdDebugKotlin,4002,3958,3997,3880,4593,4649,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3609,3490,3352,3256,5053,4675,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,3164,3270,2833,2745,4547,5025,ms
Task Path,:feature:interests:kspProdDebugKotlin,3789,3829,3853,3874,4936,5036,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3099,3397,2891,3304,4571,4381,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4338,4629,4101,4547,5679,5939,ms
Task Path,:feature:interests:compileProdDebugKotlin,2955,3114,2656,2974,4615,4359,ms
Task Path,:feature:search:kspProdDebugKotlin,3037,2859,2845,2695,4429,3727,ms
Task Path,:feature:settings:kspProdDebugKotlin,2682,2594,2529,2509,3221,3242,ms
Task Path,:feature:topic:kspProdDebugKotlin,2872,2720,2789,2612,3590,3709,ms
Task Path,:feature:search:compileProdDebugKotlin,3645,3486,3659,3524,4249,4038,ms
Task Path,:feature:settings:compileProdDebugKotlin,2476,2371,2475,2315,2938,2687,ms
Task Path,:sync:work:compileProdDebugKotlin,1541,1550,1506,1572,1895,1904,ms
Task Path,:feature:topic:compileProdDebugKotlin,2941,2838,2905,2849,3482,3185,ms
Task Path,:app:mergeExtDexProdDebug,24984,24599,24678,24162,28275,27681,ms
Task Path,:app:kspProdDebugKotlin,4292,4387,4238,4274,4855,5091,ms
Task Path,:app-nia-catalog:mergeDebugResources,2280,2264,2281,2222,2775,2802,ms
Task Path,:app:mergeLibDexProdDebug,1326,1335,1306,1303,1783,1758,ms
Task Path,:app:compileProdDebugKotlin,4874,4846,4815,4735,5633,5749,ms
Task Path,:app:compileProdDebugJavaWithJavac,1044,1075,1014,1000,1477,1556,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3298,3303,3203,3267,4021,4038,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1727,1730,1696,1615,2097,2336,ms
Task Path,:core:data-test:kspDemoDebugKotlin,2533,2632,2486,2522,2849,3251,ms
Task Path,:core:data-test:kspProdDebugKotlin,2461,2510,2413,2429,2986,2845,ms
Task Path,:app:hiltJavaCompileProdDebug,5295,5508,5336,5510,5958,6271,ms
Task Path,:core:data-test:compileProdDebugKotlin,1039,1033,1006,963,1451,1376,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1123,1236,1078,1198,1432,1637,ms
Task Path,:app:jacocoProdDebug,1165,1252,1182,1146,1642,1785,ms
Task Path,:app:mergeProdDebugJavaResource,2943,3055,2946,2995,4100,4316,ms
Task Path,:app:dexBuilderProdDebug,1763,1822,1763,1766,2248,2385,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,1969,1987,1920,1961,2295,2302,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2020,2040,1995,2059,2465,2392,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17783,17766,17990,17634,19008,19477,ms
Task Path,:app:packageProdDebug,2916,2864,2863,2856,3411,3436,ms
Task Path,:app-nia-catalog:packageDebug,1809,1862,1752,1732,2156,2361,ms
Task Path,:lint:compileKotlin,1823,1778,1755,1789,2180,2200,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1400,1369,1377,1344,1645,1605,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1548,1533,1521,1516,1732,1841,ms
Task Path,:core:testing:kspDemoDebugKotlin,2463,2470,2458,2445,2733,2816,ms
Task Path,:core:testing:kspProdDebugKotlin,2252,2341,2225,2318,2544,2656,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1649,1698,1624,1654,1914,1997,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1669,1669,1635,1655,1907,2010,ms
Task Path,:core:testing:compileDemoDebugKotlin,1448,1526,1447,1479,1675,2054,ms
Task Path,:core:testing:compileProdDebugKotlin,1420,1467,1393,1389,1641,2079,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1293,1341,1254,1253,1642,1820,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1253,1264,1214,1196,1632,1621,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,11.02,11.04,10.99,11.11,11.64,11.55,Gb
Build process cpu,Max,93.48,93.66,93.0,94.0,95,95,%
Build processes memory,Max,5.37,5.38,5.38,5.38,5.47,5.46,Gb
Build child processes cpu,Max,92.02,92.1,92.0,92.0,93,94,%
Build child processes memory,Max,4.65,4.66,4.58,4.66,5.29,5.27,Gb
gc-gradle_gc.log,total-collections,68.0,68.0,67.5,67.5,75.0,78.0,
gc-kotlin_gc.log,total-collections,45.0,44.0,45.5,45.0,52.9,52.9,
