Category,Metric,varianta_main_4g Mean,variantb_main_6g Mean,varianta_main_4g P50,variantb_main_6g P50,varianta_main_4g P90,variantb_main_6g P90,Unit
Build,Build time,43961,43644,43661,43332,47501,45808,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,3,3,4,7,8,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,38,40,38,48,45,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,43,46,42,43,52,67,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8643,8707,8638,8475,12226,12317,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,3,4,4,4,5,6,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,96,107,96,99,103,139,ms
Task Path,:build-logic:convention:compileKotlin,12110,12293,12057,12000,13129,14668,ms
Task Path,:core:model:compileKotlin,5175,5120,5160,5115,5578,5194,ms
All processes cpu,Max,96.3,96.5,96.0,97.0,98,98,%
All processes memory,Max,4.11,3.95,4.0,3.93,4.88,4.08,Gb
Build process cpu,Max,83.1,82.8,83.5,82.5,86,86,%
Build processes memory,Max,1.8,1.56,1.67,1.55,2.57,1.69,Gb
Build child processes cpu,Max,87.7,87.1,88.0,87.0,89,89,%
Build child processes memory,Max,1.29,1.37,1.29,1.37,1.3,1.38,Gb
