Category,Metric,varianta_kotlin_2.1.21 Mean,variantb_k2_kotlin_2.1.21 Mean,varianta_kotlin_2.1.21 P50,variantb_k2_kotlin_2.1.21 P50,varianta_kotlin_2.1.21 P90,variantb_k2_kotlin_2.1.21 P90,Unit
Task Path,:layer_0:module_0_31:kspDebugKotlin,2796,3637,2734,3512,3229,4247,ms
Task Path,:layer_0:module_0_32:kspDebugKotlin,3126,4113,3034,4038,3648,4783,ms
Task Path,:layer_0:module_0_33:kspDebugKotlin,3074,4038,3012,4013,3587,4677,ms
Task Path,:layer_0:module_0_34:kspDebugKotlin,3317,4175,3314,4174,3785,4715,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,3394,3902,3404,3823,3762,4495,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,3265,3595,3262,3488,3622,4144,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,3216,3485,3222,3409,3569,3961,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,3090,3373,3057,3349,3506,3885,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,3231,4251,3212,4189,3742,4725,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3087,3839,2979,3712,3679,4401,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3043,3796,2997,3691,3565,4321,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3175,3765,3103,3621,3628,4433,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,3018,3386,2983,3314,3362,3864,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,2911,3324,2875,3268,3295,3671,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,3051,3304,3016,3328,3483,3657,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,2929,3280,2893,3188,3313,3831,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,2636,3560,2565,3516,3137,4029,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,2904,4044,2778,3983,3542,4604,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,3091,4326,2994,4313,3714,5037,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,3651,5250,3523,5155,4218,5974,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,2945,3842,2918,3827,3485,4508,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,2973,3839,2980,3760,3402,4498,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,2775,3408,2715,3405,3190,3872,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,2986,3818,3029,3790,3500,4507,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,2387,3298,2332,3252,2807,3980,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,2629,3726,2521,3654,3061,4377,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,3002,4142,2965,4112,3488,4812,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,3548,4950,3451,4921,4025,5656,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,2572,3500,2493,3455,3050,4083,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,2728,3612,2708,3602,3124,3953,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2557,3344,2543,3309,2814,3888,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2388,2897,2391,2903,2691,3436,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,2549,3608,2393,3531,3227,4371,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,2868,3906,2808,3837,3303,4561,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,3199,4473,3203,4483,3632,5190,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,2956,4049,2881,4035,3432,4753,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2560,3145,2507,3115,3089,3579,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,2614,3061,2600,3023,3060,3614,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2667,3003,2582,2993,3197,3580,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,2686,3023,2623,2937,3051,3670,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,3145,3616,3163,3649,3659,4497,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,3180,3653,3136,3531,3814,4587,ms
Task Path,:layer_1:module_1_47:kspDebugKotlin,3597,4334,3554,4204,4371,5220,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,3078,3226,3141,3240,3776,3698,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2767,3067,2608,3066,3569,3820,ms
Task Path,:layer_1:module_1_48:kspDebugKotlin,3769,4422,3731,4330,4425,5362,ms
Task Path,:layer_1:module_1_47:compileDebugKotlin,3583,3611,3452,3617,4209,4046,ms
Task Path,:layer_1:module_1_48:compileDebugKotlin,3209,3159,3153,3144,3820,3566,ms
Task Path,:layer_1:module_1_49:kspDebugKotlin,3788,3999,3793,3984,4347,4504,ms
Task Path,:layer_1:module_1_50:kspDebugKotlin,4477,4947,4366,4913,5201,5631,ms
Task Path,:layer_1:module_1_51:kspDebugKotlin,3841,4228,3798,4242,4444,4797,ms
Task Path,:layer_1:module_1_49:compileDebugKotlin,3226,3441,3241,3501,3771,3957,ms
Task Path,:layer_1:module_1_50:compileDebugKotlin,3175,3376,3250,3397,3814,3906,ms
Task Path,:layer_1:module_1_52:kspDebugKotlin,4178,4597,4073,4562,4684,5503,ms
Task Path,:layer_1:module_1_51:compileDebugKotlin,3149,3298,3103,3267,3662,3909,ms
Task Path,:layer_1:module_1_53:kspDebugKotlin,3938,3980,4008,3927,4675,4698,ms
Task Path,:layer_1:module_1_52:compileDebugKotlin,3320,3555,3217,3507,3858,4233,ms
Task Path,:layer_1:module_1_53:compileDebugKotlin,3065,3477,3139,3455,3717,4210,ms
Task Path,:layer_1:module_1_54:kspDebugKotlin,3732,3844,3703,3834,4268,4489,ms
Task Path,:layer_1:module_1_55:kspDebugKotlin,4348,4655,4347,4564,4829,5415,ms
Task Path,:layer_1:module_1_56:kspDebugKotlin,3970,4214,3926,4179,4530,4847,ms
Task Path,:layer_1:module_1_54:compileDebugKotlin,2894,3128,2925,3073,3523,3719,ms
Task Path,:layer_1:module_1_57:kspDebugKotlin,3930,4026,3927,3976,4530,4681,ms
Task Path,:layer_1:module_1_55:compileDebugKotlin,3092,3190,3115,3152,3606,3832,ms
Task Path,:layer_1:module_1_56:compileDebugKotlin,2987,3021,2993,2971,3436,3532,ms
Task Path,:layer_1:module_1_58:kspDebugKotlin,3671,4011,3672,3876,4047,4648,ms
Task Path,:layer_1:module_1_57:compileDebugKotlin,2976,3129,2996,3051,3473,3638,ms
Task Path,:layer_1:module_1_59:kspDebugKotlin,3792,4243,3853,4255,4280,4848,ms
Task Path,:layer_1:module_1_58:compileDebugKotlin,2917,3143,2969,3176,3476,3595,ms
Task Path,:layer_1:module_1_60:kspDebugKotlin,4259,5043,4324,5086,5119,5875,ms
Task Path,:layer_1:module_1_61:kspDebugKotlin,3449,4019,3440,4024,4474,4754,ms
Task Path,:layer_1:module_1_59:compileDebugKotlin,3045,3144,2964,3119,3768,3561,ms
Task Path,:layer_1:module_1_60:compileDebugKotlin,2633,2725,2632,2722,3333,3169,ms
Task Path,:layer_1:module_1_62:kspDebugKotlin,3489,4013,3546,4068,4174,4749,ms
Task Path,:layer_1:module_1_61:compileDebugKotlin,2709,2908,2726,2988,3347,3385,ms
Task Path,:layer_1:module_1_63:kspDebugKotlin,3508,4012,3575,3973,4212,4642,ms
Task Path,:layer_1:module_1_62:compileDebugKotlin,2612,2937,2632,2989,3165,3374,ms
Task Path,:layer_1:module_1_64:kspDebugKotlin,3484,4185,3504,4237,4142,4879,ms
Task Path,:layer_1:module_1_63:compileDebugKotlin,2433,2735,2384,2799,2827,3297,ms
Task Path,:layer_1:module_1_65:kspDebugKotlin,3542,4246,3523,4221,4216,5039,ms
Task Path,:layer_1:module_1_66:kspDebugKotlin,3111,3702,3061,3621,3633,4509,ms
Task Path,:layer_1:module_1_64:compileDebugKotlin,2293,2722,2198,2784,2768,3231,ms
Task Path,:layer_1:module_1_65:compileDebugKotlin,2292,2600,2263,2647,2700,3019,ms
Task Path,:layer_1:module_1_66:compileDebugKotlin,2236,2618,2232,2673,2712,3037,ms
Task Path,:layer_1:module_1_67:kspDebugKotlin,3000,3671,3006,3570,3617,4383,ms
Task Path,:layer_1:module_1_67:compileDebugKotlin,2325,2590,2244,2568,2725,3120,ms
Task Path,:layer_1:module_1_68:kspDebugKotlin,3281,3877,3244,3783,3992,4769,ms
Task Path,:layer_1:module_1_69:kspDebugKotlin,3119,3606,3101,3585,3792,4402,ms
Task Path,:layer_1:module_1_70:kspDebugKotlin,3556,4180,3480,4016,4371,5239,ms
Task Path,:layer_1:module_1_68:compileDebugKotlin,2195,2482,2114,2431,2773,2991,ms
Task Path,:layer_1:module_1_69:compileDebugKotlin,2189,2512,2097,2541,2635,3069,ms
Task Path,:layer_1:module_1_71:kspDebugKotlin,3149,3657,3108,3633,3710,4236,ms
Task Path,:layer_1:module_1_70:compileDebugKotlin,2315,2588,2283,2631,2767,2983,ms
Task Path,:layer_1:module_1_71:compileDebugKotlin,2302,2621,2239,2616,2719,3052,ms
Task Path,:layer_1:module_1_72:kspDebugKotlin,3378,3832,3340,3766,3918,4557,ms
Task Path,:layer_1:module_1_73:kspDebugKotlin,2960,3394,3025,3375,3611,4281,ms
Task Path,:layer_1:module_1_74:kspDebugKotlin,3061,3357,2998,3343,3509,4041,ms
Task Path,:layer_1:module_1_72:compileDebugKotlin,2104,2461,2057,2482,2476,2938,ms
Task Path,:layer_1:module_1_73:compileDebugKotlin,2279,2539,2275,2548,2602,3217,ms
Task Path,:layer_1:module_1_74:compileDebugKotlin,2204,2496,2146,2456,2648,3022,ms
Task Path,:layer_1:module_1_75:kspDebugKotlin,3423,3791,3418,3762,3876,4605,ms
Task Path,:layer_1:module_1_76:kspDebugKotlin,3125,3552,3134,3573,3576,4076,ms
Task Path,:layer_1:module_1_75:compileDebugKotlin,2101,2363,2054,2250,2434,2968,ms
Task Path,:layer_1:module_1_77:kspDebugKotlin,2936,3141,2886,3166,3600,3831,ms
Task Path,:layer_1:module_1_78:kspDebugKotlin,3060,3116,3080,3107,3556,3735,ms
Task Path,:layer_1:module_1_76:compileDebugKotlin,2124,2339,2132,2357,2438,2704,ms
Task Path,:layer_1:module_1_77:compileDebugKotlin,2208,2373,2210,2358,2654,2823,ms
Task Path,:layer_1:module_1_78:compileDebugKotlin,2124,2271,2085,2289,2506,2709,ms
Task Path,:layer_1:module_1_79:kspDebugKotlin,3026,3191,2985,3189,3420,3706,ms
Task Path,:layer_1:module_1_79:compileDebugKotlin,2165,2335,2176,2259,2604,2841,ms
Task Path,:layer_1:module_1_80:kspDebugKotlin,3628,4046,3648,3934,4239,4750,ms
Task Path,:layer_1:module_1_81:kspDebugKotlin,2986,3181,2983,3131,3631,3899,ms
Task Path,:layer_1:module_1_82:kspDebugKotlin,2991,3236,2923,3199,3579,4023,ms
Task Path,:layer_1:module_1_80:compileDebugKotlin,2109,2284,2001,2213,2592,2873,ms
Task Path,:layer_1:module_1_81:compileDebugKotlin,2032,2277,1957,2248,2422,2747,ms
Task Path,:layer_1:module_1_82:compileDebugKotlin,2141,2245,2120,2298,2536,2743,ms
Task Path,:layer_1:module_1_83:kspDebugKotlin,2865,3108,2762,3078,3421,3682,ms
Task Path,:layer_1:module_1_84:kspDebugKotlin,3049,3290,3059,3250,3678,4049,ms
Task Path,:layer_1:module_1_83:compileDebugKotlin,2064,2218,2027,2183,2449,2789,ms
Task Path,:layer_1:module_1_85:kspDebugKotlin,3244,3439,3232,3425,3839,3956,ms
Task Path,:layer_1:module_1_86:kspDebugKotlin,2968,3067,2958,3101,3544,3578,ms
Task Path,:layer_1:module_1_84:compileDebugKotlin,2060,2119,2003,2063,2471,2581,ms
Task Path,:layer_1:module_1_85:compileDebugKotlin,2071,2106,2029,2084,2514,2555,ms
Task Path,:layer_1:module_1_86:compileDebugKotlin,2182,2146,2152,2151,2548,2396,ms
Task Path,:layer_1:module_1_87:kspDebugKotlin,2925,2976,2897,2911,3504,3497,ms
Task Path,:layer_1:module_1_88:kspDebugKotlin,2963,2998,2946,2943,3488,3688,ms
Task Path,:layer_1:module_1_87:compileDebugKotlin,1983,2028,1918,2056,2375,2403,ms
Task Path,:layer_1:module_1_89:kspDebugKotlin,2790,2904,2776,2870,3443,3587,ms
Task Path,:layer_1:module_1_88:compileDebugKotlin,1947,2050,1887,2020,2423,2413,ms
Task Path,:layer_1:module_1_90:kspDebugKotlin,3277,3458,3208,3368,3915,4151,ms
Task Path,:layer_1:module_1_89:compileDebugKotlin,2018,2093,1969,2099,2410,2423,ms
Task Path,:layer_1:module_1_90:compileDebugKotlin,2189,2034,2091,1941,2852,2590,ms
Task Path,:layer_1:module_1_91:kspDebugKotlin,2908,2978,2836,2941,3373,3456,ms
Task Path,:layer_1:module_1_92:kspDebugKotlin,3090,3029,3082,2901,3851,3604,ms
Task Path,:layer_1:module_1_91:compileDebugKotlin,2321,2151,2155,2152,2880,2572,ms
Task Path,:layer_1:module_1_92:compileDebugKotlin,2305,2061,2371,2064,2725,2528,ms
Task Path,:layer_2:module_2_107:kspDebugKotlin,3341,3225,3313,3142,3897,3765,ms
Task Path,:layer_2:module_2_101:kspDebugKotlin,3525,3071,3489,3020,4018,3467,ms
Task Path,:layer_2:module_2_100:kspDebugKotlin,4404,3899,4402,3897,5077,4491,ms
Task Path,:layer_2:module_2_102:kspDebugKotlin,3669,3164,3659,3182,4098,3545,ms
Task Path,:layer_2:module_2_103:kspDebugKotlin,3639,3251,3537,3200,4273,3710,ms
Task Path,:layer_2:module_2_101:compileDebugKotlin,2515,2390,2471,2383,3119,2844,ms
Task Path,:layer_2:module_2_100:compileDebugKotlin,2499,2414,2498,2333,3102,3104,ms
Task Path,:layer_2:module_2_102:compileDebugKotlin,2573,2285,2550,2267,3165,2774,ms
Task Path,:layer_2:module_2_103:compileDebugKotlin,2721,2234,2657,2221,3192,2558,ms
Task Path,:layer_2:module_2_107:compileDebugKotlin,2293,2377,2135,2345,3156,2788,ms
Task Path,:layer_2:module_2_104:kspDebugKotlin,3393,2858,3364,2818,4240,3394,ms
Task Path,:layer_2:module_2_106:kspDebugKotlin,3462,3128,3413,3121,4257,3458,ms
Task Path,:layer_2:module_2_105:kspDebugKotlin,3987,3613,4008,3541,4767,4093,ms
Task Path,:layer_2:module_2_104:compileDebugKotlin,2050,2153,1958,2119,2743,2743,ms
Task Path,:layer_2:module_2_106:compileDebugKotlin,2483,2484,2483,2438,3036,2926,ms
Task Path,:layer_2:module_2_105:compileDebugKotlin,2450,2380,2439,2368,3135,2667,ms
Task Path,:layer_2:module_2_108:kspDebugKotlin,2693,2849,2787,2893,3442,3663,ms
Task Path,:layer_2:module_2_109:kspDebugKotlin,2535,2919,2518,2857,3039,3497,ms
Task Path,:layer_2:module_2_108:compileDebugKotlin,1889,1992,1877,1938,2264,2619,ms
Task Path,:layer_2:module_2_109:compileDebugKotlin,1966,2160,1916,2133,2170,2578,ms
Task Path,:layer_2:module_2_111:kspDebugKotlin,2754,3148,2680,3180,3098,3617,ms
Task Path,:layer_2:module_2_110:kspDebugKotlin,3204,3686,3094,3651,3642,4463,ms
Task Path,:layer_2:module_2_111:compileDebugKotlin,1888,2170,1878,2222,2147,2560,ms
Task Path,:layer_2:module_2_112:kspDebugKotlin,2740,3127,2806,3000,3259,4038,ms
Task Path,:layer_2:module_2_110:compileDebugKotlin,1975,2182,1938,2168,2212,2647,ms
Task Path,:layer_2:module_2_113:kspDebugKotlin,2574,2817,2529,2768,3103,3440,ms
Task Path,:layer_2:module_2_112:compileDebugKotlin,1877,1934,1836,1845,2379,2486,ms
Task Path,:layer_2:module_2_113:compileDebugKotlin,2116,2124,2024,2057,2602,2461,ms
Task Path,:layer_2:module_2_114:kspDebugKotlin,2713,2931,2675,2951,3172,3362,ms
Task Path,:layer_2:module_2_115:kspDebugKotlin,3439,3691,3422,3649,4154,4382,ms
Task Path,:layer_2:module_2_114:compileDebugKotlin,2030,2080,1881,2054,2534,2487,ms
Task Path,:layer_2:module_2_115:compileDebugKotlin,2016,2107,1997,2033,2397,2551,ms
Task Path,:layer_2:module_2_116:kspDebugKotlin,3042,3295,3085,3246,3745,3929,ms
Task Path,:layer_2:module_2_117:kspDebugKotlin,2883,2966,2836,2878,3500,3581,ms
Task Path,:layer_2:module_2_118:kspDebugKotlin,2828,2896,2805,2758,3303,3564,ms
Task Path,:layer_2:module_2_116:compileDebugKotlin,2065,2028,1990,1993,2589,2624,ms
Task Path,:layer_2:module_2_117:compileDebugKotlin,2081,2025,1951,1988,2582,2377,ms
Task Path,:layer_2:module_2_119:kspDebugKotlin,2984,2962,2944,2902,3733,3458,ms
Task Path,:layer_2:module_2_118:compileDebugKotlin,2020,1976,1984,1923,2522,2450,ms
Task Path,:layer_2:module_2_119:compileDebugKotlin,1965,1979,1942,1990,2421,2404,ms
Task Path,:layer_2:module_2_120:kspDebugKotlin,3396,3594,3376,3496,4197,4321,ms
Task Path,:layer_2:module_2_121:kspDebugKotlin,2662,2845,2595,2776,3249,3293,ms
Task Path,:layer_2:module_2_122:kspDebugKotlin,2741,2834,2640,2792,3204,3278,ms
Task Path,:layer_2:module_2_120:compileDebugKotlin,1919,1913,1879,1920,2302,2283,ms
Task Path,:layer_2:module_2_123:kspDebugKotlin,2943,2901,2871,2874,3423,3447,ms
Task Path,:layer_2:module_2_121:compileDebugKotlin,2014,2031,1946,2009,2511,2482,ms
Task Path,:layer_2:module_2_122:compileDebugKotlin,1996,2018,1941,2042,2464,2504,ms
Task Path,:layer_2:module_2_123:compileDebugKotlin,1822,1947,1808,1917,2307,2349,ms
Task Path,:layer_2:module_2_124:kspDebugKotlin,2826,3050,2758,3013,3481,3676,ms
Task Path,:layer_2:module_2_125:kspDebugKotlin,3073,3427,2942,3423,3736,3915,ms
Task Path,:layer_2:module_2_126:kspDebugKotlin,2833,3124,2819,3158,3322,3512,ms
Task Path,:layer_2:module_2_124:compileDebugKotlin,1845,1950,1797,1921,2273,2332,ms
Task Path,:layer_2:module_2_127:kspDebugKotlin,2823,2964,2742,2973,3341,3290,ms
Task Path,:layer_2:module_2_126:compileDebugKotlin,1926,2037,1914,2021,2276,2492,ms
Task Path,:layer_2:module_2_125:compileDebugKotlin,2075,2076,2003,2051,2450,2426,ms
Task Path,:layer_2:module_2_127:compileDebugKotlin,1879,1977,1852,1930,2281,2403,ms
Task Path,:layer_2:module_2_128:kspDebugKotlin,2776,3025,2853,2997,3506,3635,ms
Task Path,:layer_2:module_2_129:kspDebugKotlin,2621,2769,2557,2633,3232,3411,ms
Task Path,:layer_2:module_2_128:compileDebugKotlin,1898,1944,1878,1926,2275,2563,ms
Task Path,:layer_2:module_2_131:kspDebugKotlin,2859,2944,2779,2849,3439,3513,ms
Task Path,:layer_2:module_2_130:kspDebugKotlin,3240,3321,3177,3254,3874,3860,ms
Task Path,:layer_2:module_2_129:compileDebugKotlin,1974,1986,1954,1937,2311,2381,ms
Task Path,:layer_2:module_2_130:compileDebugKotlin,2020,2003,2014,1966,2379,2513,ms
Task Path,:layer_2:module_2_131:compileDebugKotlin,1990,1959,1936,1986,2403,2268,ms
Task Path,:layer_2:module_2_132:kspDebugKotlin,2846,2984,2884,3034,3422,3473,ms
Task Path,:layer_2:module_2_133:kspDebugKotlin,2589,2735,2564,2738,3259,3344,ms
Task Path,:layer_2:module_2_132:compileDebugKotlin,1842,1850,1797,1802,2415,2203,ms
Task Path,:layer_2:module_2_133:compileDebugKotlin,2088,2060,2016,2041,2625,2516,ms
Task Path,:layer_2:module_2_134:kspDebugKotlin,2758,2868,2661,2799,3366,3292,ms
Task Path,:layer_2:module_2_135:kspDebugKotlin,3328,3525,3206,3488,3957,4031,ms
Task Path,:layer_2:module_2_135:compileDebugKotlin,1943,2050,1891,2045,2393,2495,ms
Task Path,:layer_2:module_2_134:compileDebugKotlin,2063,2143,1998,2105,2472,2545,ms
Task Path,:layer_2:module_2_137:kspDebugKotlin,2662,2955,2562,2927,3233,3417,ms
Task Path,:layer_2:module_2_136:kspDebugKotlin,3040,3340,3041,3361,3495,3902,ms
Task Path,:layer_2:module_2_137:compileDebugKotlin,1958,2047,1909,1915,2394,2576,ms
Task Path,:layer_2:module_2_136:compileDebugKotlin,1953,2227,1933,2139,2434,2886,ms
Task Path,:layer_2:module_2_138:kspDebugKotlin,2846,2867,2784,2901,3456,3484,ms
Task Path,:layer_2:module_2_93:kspDebugKotlin,2835,2947,2853,2952,3191,3489,ms
Task Path,:layer_2:module_2_138:compileDebugKotlin,1923,1933,1930,1907,2295,2406,ms
Task Path,:layer_2:module_2_93:compileDebugKotlin,1888,1924,1897,1896,2271,2495,ms
Task Path,:layer_2:module_2_94:kspDebugKotlin,2828,2832,2774,2711,3414,3471,ms
Task Path,:layer_2:module_2_95:kspDebugKotlin,3020,3308,3023,3217,3677,3965,ms
Task Path,:layer_2:module_2_94:compileDebugKotlin,1943,2085,1915,1964,2420,2634,ms
Task Path,:layer_2:module_2_95:compileDebugKotlin,1995,1998,1899,1973,2444,2600,ms
Task Path,:layer_2:module_2_96:kspDebugKotlin,2953,3138,2922,3126,3481,3626,ms
Task Path,:layer_2:module_2_97:kspDebugKotlin,2795,2902,2731,2857,3522,3505,ms
Task Path,:layer_2:module_2_97:compileDebugKotlin,1927,1949,1876,1869,2353,2444,ms
Task Path,:layer_2:module_2_96:compileDebugKotlin,1931,1894,1877,1840,2409,2203,ms
Task Path,:layer_2:module_2_98:kspDebugKotlin,2722,2796,2749,2784,3235,3358,ms
