Category,Metric,varianta_main_4g Mean,variantb_main_6g Mean,varianta_main_4g P50,variantb_main_6g P50,varianta_main_4g P90,variantb_main_6g P90,Unit
Build,Build time,43759,42945,43214,42715,46685,45038,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,3,3,4,8,8,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,35,39,36,63,39,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,41,44,40,42,52,71,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8766,8593,8470,8479,12874,12045,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,3,4,3,4,5,10,ms
Task Type,org.gradle.api.DefaultTask,0,0,1,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,101,102,95,102,149,121,ms
Task Path,:build-logic:convention:compileKotlin,12381,12093,12181,11803,14345,14142,ms
Task Path,:core:model:compileKotlin,5151,5093,5134,5089,5488,5252,ms
All processes cpu,Max,96.4,96.7,96.0,97.0,98,97,%
All processes memory,Max,4.12,3.97,4.05,3.97,4.74,4.11,Gb
Build process cpu,Max,83.5,83.3,83.5,83.0,86,87,%
Build processes memory,Max,1.8,1.57,1.74,1.57,2.41,1.68,Gb
Build child processes cpu,Max,86.8,86.7,87.0,86.0,90,90,%
Build child processes memory,Max,1.3,1.37,1.29,1.37,1.31,1.38,Gb
